"Taxon","t_value","p_value","p_adj"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Barnesiella.s__Barnesiella_sp_CU968",-6.50811675975934,6.72544267046146e-07,3.42997576193534e-05
"k__Bacteria.p__Firmicutes.c__CFGB76293.o__OFGB76293.f__FGB76293.g__GGB79698.s__GGB79698_SGB41545",5.88611952231497,3.30405021498682e-06,5.6168853654776e-05
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Schaedlerella.s__Schaedlerella_arabinosiphila",5.9771992421522,2.61110645826797e-06,5.6168853654776e-05
"k__Bacteria.p__Bacteroidetes.c__CFGB9382.o__OFGB9382.f__FGB9382.g__GGB27878.s__GGB27878_SGB40312",-5.55117875847745,7.89630958290611e-06,8.05423577456423e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__Lactobacillus_johnsonii",5.61057493627463,6.76186719763593e-06,8.05423577456423e-05
"k__Bacteria.p__Bacteria_unclassified.c__CFGB76064.o__OFGB76064.f__FGB76064.g__GGB28904.s__GGB28904_SGB41597",4.84707043568623,5.03171830997687e-05,0.000427696056348034
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_thetaiotaomicron",-4.61836632702274,9.20493613827782e-05,0.000670645347217384
"k__Bacteria.p__Bacteria_unclassified.c__Bacteria_unclassified.o__Bacteria_unclassified.f__Bacteria_unclassified.g__GGB79854.s__GGB79854_SGB41662",-4.54370468420221,0.000112100326991144,0.000714639584568542
"k__Bacteria.p__Firmicutes.c__CFGB9827.o__OFGB9827.f__FGB9827.g__GGB29531.s__GGB29531_SGB42317",-4.28592815984794,0.000221074931798182,0.00125275794685636
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__GGB28766.s__GGB28766_SGB41416",4.12516145168748,0.00033708580779321,0.00171913761974537
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Lachnospiraceae_unclassified.s__Lachnospiraceae_unclassified_SGB41424",-3.83004979179302,0.000727123192521266,0.00337120752896223
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Oscillibacter.s__Oscillibacter_sp_CU971",-3.26808042285993,0.00304167989844716,0.0129271395684004
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_MD308",-2.94826149415529,0.00667066294743689,0.026169523870714
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Eubacteriales_Family_XIII_Incertae_Sedis.g__Emergencia.s__Emergencia_sp_1XD21_10",2.79676018865737,0.00958228644147583,0.0349069006082334
"k__Bacteria.p__Firmicutes.c__CFGB76074.o__OFGB76074.f__FGB76074.g__GGB28949.s__GGB28949_SGB41655",-2.74878671019448,0.0107307866038898,0.0364846744532252
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__Lactococcus_lactis",-2.64601993637198,0.0136402865230851,0.0434784132923337
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB75064.s__GGB75064_SGB102200",-2.5916505445051,0.015463231423964,0.046389694271892
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB30454.s__GGB30454_SGB43514",2.4671541229067,0.0205237223377274,0.053864416255628
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella.s__Parasutterella_excrementihominis",-2.48995778749551,0.0194951479482224,0.053864416255628
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Dorea.s__Dorea_sp_5_2",2.45434338078824,0.0211233004924032,0.053864416255628
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Christensenellaceae.g__GGB30455.s__GGB30455_SGB43519",2.42157206356647,0.0227312871322768,0.0552045544641009
"k__Bacteria.p__Firmicutes.c__CFGB75984.o__OFGB75984.f__FGB75984.g__GGB45564.s__GGB45564_SGB63259",-2.29254432765066,0.0302145448240183,0.0700428084556787
"k__Bacteria.p__Firmicutes.c__CFGB76790.o__OFGB76790.f__FGB76790.g__GGB30302.s__GGB30302_SGB43267",2.22160813686726,0.035224820140873,0.0781072098775879
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB30461.s__GGB30461_SGB43533",2.10822061707052,0.0448037053903016,0.0952078739543908
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Streptomycetales.f__Streptomycetaceae.g__GGB30301.s__GGB30301_SGB43265",-1.84839174579206,0.0759505158900704,0.154939052415744
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4",1.63343518239751,0.114430523431109,0.224459872884099
"k__Bacteria.p__Bacteria_unclassified.c__Bacteria_unclassified.o__Bacteria_unclassified.f__Bacteria_unclassified.g__Bacteria_unclassified.s__Bacteria_unclassified_SGB41508",1.60663450258581,0.120212909832188,0.227068829683022
"k__Bacteria.p__Bacteria_unclassified.c__CFGB76313.o__OFGB76313.f__FGB76313.g__GGB28927.s__GGB28927_SGB41625",-1.58656092026746,0.1247007620404,0.227133530859301
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__GGB28846.s__GGB28846_SGB41513",-1.46870466401923,0.153908887692483,0.270667354217815
"k__Bacteria.p__Firmicutes.c__CFGB76790.o__OFGB76790.f__FGB76790.g__GGB30303.s__GGB30303_SGB43268",-1.39121609370198,0.175951123430347,0.29911690983159
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB30463.s__GGB30463_SGB43537",1.27540303385292,0.213445120441085,0.340178160702979
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB74395.s__GGB74395_SGB43523",1.27686797098527,0.212935324799233,0.340178160702979
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia.s__Akkermansia_muciniphila",-1.22799989935982,0.230448360597936,0.345968712694822
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Eubacteriales_unclassified.g__Eubacteriales_unclassified.s__Clostridiales_bacterium",-1.22746521143242,0.230645808463215,0.345968712694822
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Peptostreptococcaceae.g__GGB29683.s__GGB29683_SGB42492",-1.10173795024078,0.280670513920326,0.398891904609902
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB30468.s__GGB30468_SGB43552",1.09963119578704,0.281570756195225,0.398891904609902
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium",0.9447251877858,0.353496446937913,0.46226458445727
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB75055.s__GGB75055_SGB43513",-0.976015389896363,0.33805112149426,0.46226458445727
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB5207.s__GGB5207_SGB43496",0.954844142575359,0.348450653158011,0.46226458445727
"k__Bacteria.p__Firmicutes.c__CFGB76322.o__OFGB76322.f__FGB76322.g__GGB30414.s__GGB30414_SGB43453",0.871988993022297,0.391195857720932,0.498774718594189
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB30473.s__GGB30473_SGB43557",0.728114252799855,0.473050733576447,0.588428961278019
"k__Bacteria.p__Firmicutes.c__CFGB72709.o__OFGB72709.f__FGB72709.g__GGB30300.s__GGB30300_SGB43264",-0.663224031203187,0.513024920459779,0.622958831986875
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__Clostridiaceae_unclassified.s__Clostridiaceae_bacterium",-0.500397355828933,0.62100474693515,0.736540513806807
"k__Bacteria.p__Bacteria_unclassified.c__Bacteria_unclassified.o__Bacteria_unclassified.f__Bacteria_unclassified.g__Bacteria_unclassified.s__bacterium_1XD42_76",-0.470459253836131,0.641949715133526,0.744078078904769
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB30466.s__GGB30466_SGB63211",-0.431052317287145,0.66998315763884,0.759314245324019
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB30463.s__GGB30463_SGB102197",0.337223546449346,0.738655622082144,0.81894427665629
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelatoclostridium.s__Clostridium_cocleatum",0.313731406323781,0.756228334804288,0.820588193085504
"k__Bacteria.p__Bacteria_unclassified.c__CFGB76138.o__OFGB76138.f__FGB76138.g__GGB79948.s__GGB79948_SGB41679",0.245181342765322,0.808240928021699,0.841230353655238
"k__Bacteria.p__Bacteria_unclassified.c__Bacteria_unclassified.o__Bacteria_unclassified.f__Bacteria_unclassified.g__GGB28963.s__GGB28963_SGB41672",0.251736452512633,0.803223970439276,0.841230353655238
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB45514.s__GGB45514_SGB63186",0.19637572136576,0.845842978637328,0.862759838210075
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB30457.s__GGB30457_SGB63218",0.0909163883315324,0.928255855538401,0.928255855538401
